Amount,BankNameSent,BankNameReceived,RemainingBalance,City,Gender,TransactionType,Status,DeviceType,PaymentMethod,MerchantName,Purpose,CustomerAge,PaymentMode,Currency,Months,Days,Hours,Minutes
1041.4,HDFC Bank,ICICI Bank,5189.37,Mumbai,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,40,Instant,INR,9,21,4,48
82.31,SBI Bank,HDFC Bank,5917.7,Delhi,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,41,Scheduled,USD,10,22,12,29
352.02,ICICI Bank,SBI Bank,4431.16,Bangalore,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,42,Instant,EUR,11,23,9,1
625.1,Axis Bank,Axis Bank,6280.01,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,43,Scheduled,GBP,12,24,3,52
789.62,HDFC Bank,ICICI Bank,2415.86,Mumbai,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,44,Instant,INR,1,25,19,18
1912.19,SBI Bank,HDFC Bank,1482.52,Delhi,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,45,Scheduled,USD,2,26,16,3
316.76,ICICI Bank,SBI Bank,7736.92,Bangalore,Male,Payment,Success,Laptop,QR Code,Amazon,Food,46,Instant,EUR,3,27,20,21
556.08,Axis Bank,Axis Bank,766.4,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,47,Scheduled,GBP,4,28,9,21
976.21,HDFC Bank,ICICI Bank,7429.94,Mumbai,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,48,Instant,INR,5,29,2,20
734.98,SBI Bank,HDFC Bank,4027.72,Delhi,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,49,Scheduled,USD,6,30,15,16
729.09,ICICI Bank,SBI Bank,44.32,Bangalore,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,50,Instant,EUR,7,1,19,21
1288.17,Axis Bank,Axis Bank,8662.02,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,51,Scheduled,GBP,8,2,22,26
476.89,HDFC Bank,ICICI Bank,5026.58,Mumbai,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,52,Instant,INR,9,3,22,39
240.93,SBI Bank,HDFC Bank,3021.32,Delhi,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,53,Scheduled,USD,10,4,18,55
261.74,ICICI Bank,SBI Bank,6625.38,Bangalore,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,54,Instant,EUR,11,5,19,5
261.36,Axis Bank,Axis Bank,8879.92,Hyderabad,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,55,Scheduled,GBP,12,6,8,31
714.35,HDFC Bank,ICICI Bank,9272.72,Mumbai,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,56,Instant,INR,1,7,2,16
783.66,SBI Bank,HDFC Bank,8870.81,Delhi,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,57,Scheduled,USD,2,8,23,28
631.61,ICICI Bank,SBI Bank,7100.92,Bangalore,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,58,Instant,EUR,3,9,14,42
432.82,Axis Bank,Axis Bank,31.99,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,59,Scheduled,GBP,4,10,19,55
1196.32,HDFC Bank,ICICI Bank,7098.38,Mumbai,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,5,11,4,59
58.41,SBI Bank,HDFC Bank,1134.52,Delhi,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,21,Scheduled,USD,6,12,7,29
1575.41,ICICI Bank,SBI Bank,6857.86,Bangalore,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,22,Instant,EUR,7,13,5,43
1424.68,Axis Bank,Axis Bank,1945.98,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,23,Scheduled,GBP,8,14,20,23
40.37,HDFC Bank,ICICI Bank,6332.93,Mumbai,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,24,Instant,INR,9,15,13,18
1237.03,SBI Bank,HDFC Bank,1343.49,Delhi,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,25,Scheduled,USD,10,16,6,5
309.54,ICICI Bank,SBI Bank,8161.38,Bangalore,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,26,Instant,EUR,11,17,19,40
1006.09,Axis Bank,Axis Bank,4530.16,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,27,Scheduled,GBP,12,18,6,36
1105.85,HDFC Bank,ICICI Bank,4943.41,Mumbai,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,28,Instant,INR,1,19,16,26
135.49,SBI Bank,HDFC Bank,3162.11,Delhi,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,2,20,10,56
1200.69,ICICI Bank,SBI Bank,1182.48,Bangalore,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,30,Instant,EUR,3,21,14,41
290.37,Axis Bank,Axis Bank,9923.06,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,31,Scheduled,GBP,4,22,4,19
1099.5,HDFC Bank,ICICI Bank,1999.3,Mumbai,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,32,Instant,INR,5,23,23,12
1497.71,SBI Bank,HDFC Bank,5833.67,Delhi,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,33,Scheduled,USD,6,24,4,56
1167.44,ICICI Bank,SBI Bank,8241.59,Bangalore,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,34,Instant,EUR,7,25,0,36
61.73,Axis Bank,Axis Bank,7989.63,Hyderabad,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,35,Scheduled,GBP,8,26,3,59
591.43,HDFC Bank,ICICI Bank,9710.39,Mumbai,Male,Payment,Success,Laptop,QR Code,Amazon,Food,36,Instant,INR,9,27,14,21
877.29,SBI Bank,HDFC Bank,8504.05,Delhi,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,37,Scheduled,USD,10,28,15,30
1050.05,ICICI Bank,SBI Bank,5758.47,Bangalore,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,38,Instant,EUR,11,29,0,35
1753.84,Axis Bank,Axis Bank,6949.3,Hyderabad,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,39,Scheduled,GBP,12,30,16,13
1016.95,HDFC Bank,ICICI Bank,3601.68,Mumbai,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,40,Instant,INR,1,1,0,48
95.74,SBI Bank,HDFC Bank,4541.38,Delhi,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,41,Scheduled,USD,2,2,7,56
582.7,ICICI Bank,SBI Bank,6027.89,Bangalore,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,42,Instant,EUR,3,3,9,14
264.61,Axis Bank,Axis Bank,3004.97,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,43,Scheduled,GBP,4,4,1,33
1516.94,HDFC Bank,ICICI Bank,6343.03,Mumbai,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,44,Instant,INR,5,5,12,40
847.75,SBI Bank,HDFC Bank,830.75,Delhi,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,45,Scheduled,USD,6,6,20,12
1053.87,ICICI Bank,SBI Bank,990.96,Bangalore,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,46,Instant,EUR,7,7,3,34
649.72,Axis Bank,Axis Bank,5152.44,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,47,Scheduled,GBP,8,8,10,45
1401.99,HDFC Bank,ICICI Bank,3257.98,Mumbai,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,48,Instant,INR,9,9,11,49
683.59,SBI Bank,HDFC Bank,7152.35,Delhi,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,49,Scheduled,USD,10,10,12,34
240.1,ICICI Bank,SBI Bank,1035.24,Bangalore,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,50,Instant,EUR,11,11,1,33
1663.2,Axis Bank,Axis Bank,4462.8,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,51,Scheduled,GBP,12,12,15,28
376.61,HDFC Bank,ICICI Bank,2240.34,Mumbai,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,52,Instant,INR,1,13,14,42
1590.69,SBI Bank,HDFC Bank,3131.34,Delhi,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,53,Scheduled,USD,2,14,11,5
623.18,ICICI Bank,SBI Bank,1283.94,Bangalore,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,54,Instant,EUR,3,15,13,22
1645.02,Axis Bank,Axis Bank,4590.19,Hyderabad,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,55,Scheduled,GBP,4,16,14,36
4.5,HDFC Bank,ICICI Bank,4922.13,Mumbai,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,56,Instant,INR,5,17,8,9
1036.23,SBI Bank,HDFC Bank,6073.74,Delhi,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,57,Scheduled,USD,6,18,8,32
1985.46,ICICI Bank,SBI Bank,2735.63,Bangalore,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,58,Instant,EUR,7,19,14,9
486.67,Axis Bank,Axis Bank,5811.54,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,59,Scheduled,GBP,8,20,4,23
108.65,HDFC Bank,ICICI Bank,2015.36,Mumbai,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,20,Instant,INR,9,21,5,39
940.24,SBI Bank,HDFC Bank,2034.02,Delhi,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,21,Scheduled,USD,10,22,0,14
1705.75,ICICI Bank,SBI Bank,4862.73,Bangalore,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,22,Instant,EUR,11,23,15,32
430.18,Axis Bank,Axis Bank,6185.61,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,23,Scheduled,GBP,12,24,9,42
818.34,HDFC Bank,ICICI Bank,9508.18,Mumbai,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,24,Instant,INR,1,25,12,19
725.38,SBI Bank,HDFC Bank,1805.99,Delhi,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,25,Scheduled,USD,2,26,5,12
1323.91,ICICI Bank,SBI Bank,123.08,Bangalore,Male,Payment,Success,Laptop,QR Code,Amazon,Food,26,Instant,EUR,3,27,3,45
1527.19,Axis Bank,Axis Bank,4829.75,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,27,Scheduled,GBP,4,28,6,56
99.33,HDFC Bank,ICICI Bank,9860.5,Mumbai,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,28,Instant,INR,5,29,16,12
1835.44,SBI Bank,HDFC Bank,6827.44,Delhi,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,29,Scheduled,USD,6,30,0,20
1803.64,ICICI Bank,SBI Bank,1155.54,Bangalore,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,30,Instant,EUR,7,1,9,17
506.51,Axis Bank,Axis Bank,6543.26,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,31,Scheduled,GBP,8,2,20,10
8.34,HDFC Bank,ICICI Bank,8714.16,Mumbai,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,32,Instant,INR,9,3,3,35
1035.36,SBI Bank,HDFC Bank,1900.92,Delhi,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,33,Scheduled,USD,10,4,8,0
236.42,ICICI Bank,SBI Bank,7011.43,Bangalore,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,34,Instant,EUR,11,5,8,28
1497.97,Axis Bank,Axis Bank,690.82,Hyderabad,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,35,Scheduled,GBP,12,6,19,26
1997.89,HDFC Bank,ICICI Bank,8527.06,Mumbai,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,36,Instant,INR,1,7,22,18
1476.86,SBI Bank,HDFC Bank,4376.29,Delhi,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,37,Scheduled,USD,2,8,9,1
306.34,ICICI Bank,SBI Bank,8601.03,Bangalore,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,38,Instant,EUR,3,9,13,31
1320.31,Axis Bank,Axis Bank,7248.94,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,39,Scheduled,GBP,4,10,14,14
572.7,HDFC Bank,ICICI Bank,7757.98,Mumbai,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,40,Instant,INR,5,11,18,25
634.99,SBI Bank,HDFC Bank,5643.04,Delhi,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,41,Scheduled,USD,6,12,14,20
1587.27,ICICI Bank,SBI Bank,4279.26,Bangalore,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,42,Instant,EUR,7,13,15,39
16.24,Axis Bank,Axis Bank,9723.93,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,43,Scheduled,GBP,8,14,18,29
409.39,HDFC Bank,ICICI Bank,4378.32,Mumbai,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,44,Instant,INR,9,15,3,22
426.54,SBI Bank,HDFC Bank,4675.2,Delhi,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,45,Scheduled,USD,10,16,2,3
1730.93,ICICI Bank,SBI Bank,3982.56,Bangalore,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,46,Instant,EUR,11,17,9,2
1309.25,Axis Bank,Axis Bank,8894.49,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,47,Scheduled,GBP,12,18,20,29
11.92,HDFC Bank,ICICI Bank,6758.73,Mumbai,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,48,Instant,INR,1,19,15,49
1701.26,SBI Bank,HDFC Bank,8210.37,Delhi,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,49,Scheduled,USD,2,20,19,55
250.05,ICICI Bank,SBI Bank,582.17,Bangalore,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,50,Instant,EUR,3,21,4,44
1349.63,Axis Bank,Axis Bank,8686.87,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,51,Scheduled,GBP,4,22,7,35
949.34,HDFC Bank,ICICI Bank,8940.52,Mumbai,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,52,Instant,INR,5,23,7,36
944.05,SBI Bank,HDFC Bank,3542.09,Delhi,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,53,Scheduled,USD,6,24,18,15
1789.18,ICICI Bank,SBI Bank,3686.62,Bangalore,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,54,Instant,EUR,7,25,9,19
1736.67,Axis Bank,Axis Bank,4454.47,Hyderabad,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,55,Scheduled,GBP,8,26,4,8
1144.97,HDFC Bank,ICICI Bank,2116.14,Mumbai,Male,Payment,Success,Laptop,QR Code,Amazon,Food,56,Instant,INR,9,27,14,26
944.14,SBI Bank,HDFC Bank,9676.41,Delhi,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,57,Scheduled,USD,10,28,0,55
463.45,ICICI Bank,SBI Bank,1543.94,Bangalore,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,58,Instant,EUR,11,29,12,54
326.43,Axis Bank,Axis Bank,7300.24,Hyderabad,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,59,Scheduled,GBP,12,30,1,57
240.72,HDFC Bank,ICICI Bank,6520.62,Mumbai,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,20,Instant,INR,1,1,2,41
1853.27,SBI Bank,HDFC Bank,713.51,Delhi,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,2,2,0,57
526.87,ICICI Bank,SBI Bank,6155.73,Bangalore,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,22,Instant,EUR,3,3,9,6
925.88,Axis Bank,Axis Bank,151.9,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,4,4,9,25
453.54,HDFC Bank,ICICI Bank,3380.72,Mumbai,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,24,Instant,INR,5,5,10,31
1535.09,SBI Bank,HDFC Bank,5371.61,Delhi,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,6,6,22,47
787.96,ICICI Bank,SBI Bank,5108.25,Bangalore,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,26,Instant,EUR,7,7,19,1
1831.44,Axis Bank,Axis Bank,9543.16,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,27,Scheduled,GBP,8,8,1,24
11.56,HDFC Bank,ICICI Bank,5605.45,Mumbai,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,9,9,11,5
1922.79,SBI Bank,HDFC Bank,810.43,Delhi,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,29,Scheduled,USD,10,10,3,1
434.02,ICICI Bank,SBI Bank,7808.38,Bangalore,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,30,Instant,EUR,11,11,10,33
1059.47,Axis Bank,Axis Bank,3886.0,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,31,Scheduled,GBP,12,12,7,11
1466.54,HDFC Bank,ICICI Bank,319.52,Mumbai,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,32,Instant,INR,1,13,5,32
852.73,SBI Bank,HDFC Bank,2180.55,Delhi,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,33,Scheduled,USD,2,14,19,47
531.2,ICICI Bank,SBI Bank,6687.39,Bangalore,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,34,Instant,EUR,3,15,18,25
1128.21,Axis Bank,Axis Bank,5082.73,Hyderabad,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,35,Scheduled,GBP,4,16,12,2
1493.08,HDFC Bank,ICICI Bank,3785.82,Mumbai,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,36,Instant,INR,5,17,21,40
1160.46,SBI Bank,HDFC Bank,178.17,Delhi,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,37,Scheduled,USD,6,18,20,17
394.9,ICICI Bank,SBI Bank,6679.28,Bangalore,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,38,Instant,EUR,7,19,8,43
806.5,Axis Bank,Axis Bank,4720.81,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,39,Scheduled,GBP,8,20,18,1
628.11,HDFC Bank,ICICI Bank,3728.95,Mumbai,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,40,Instant,INR,9,21,21,21
1829.61,SBI Bank,HDFC Bank,5347.13,Delhi,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,41,Scheduled,USD,10,22,10,21
826.14,ICICI Bank,SBI Bank,7630.73,Bangalore,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,42,Instant,EUR,11,23,6,58
508.05,Axis Bank,Axis Bank,3233.92,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,43,Scheduled,GBP,12,24,21,23
374.07,HDFC Bank,ICICI Bank,8461.47,Mumbai,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,44,Instant,INR,1,25,22,12
1517.65,SBI Bank,HDFC Bank,260.69,Delhi,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,45,Scheduled,USD,2,26,4,45
573.09,ICICI Bank,SBI Bank,4147.54,Bangalore,Male,Payment,Success,Laptop,QR Code,Amazon,Food,46,Instant,EUR,3,27,1,46
1722.08,Axis Bank,Axis Bank,9196.16,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,47,Scheduled,GBP,4,28,1,17
858.29,HDFC Bank,ICICI Bank,5021.77,Mumbai,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,48,Instant,INR,5,29,4,41
921.88,SBI Bank,HDFC Bank,1655.12,Delhi,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,49,Scheduled,USD,6,30,2,48
1029.92,ICICI Bank,SBI Bank,4275.44,Bangalore,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,50,Instant,EUR,7,1,15,28
233.5,Axis Bank,Axis Bank,6670.58,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,51,Scheduled,GBP,8,2,21,26
1082.45,HDFC Bank,ICICI Bank,6544.33,Mumbai,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,52,Instant,INR,9,3,22,36
257.19,SBI Bank,HDFC Bank,40.35,Delhi,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,53,Scheduled,USD,10,4,8,26
1123.31,ICICI Bank,SBI Bank,9864.94,Bangalore,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,54,Instant,EUR,11,5,11,44
1133.15,Axis Bank,Axis Bank,757.89,Hyderabad,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,55,Scheduled,GBP,12,6,8,37
236.49,HDFC Bank,ICICI Bank,713.09,Mumbai,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,56,Instant,INR,1,7,14,24
37.61,SBI Bank,HDFC Bank,7008.46,Delhi,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,57,Scheduled,USD,2,8,23,58
786.62,ICICI Bank,SBI Bank,2149.54,Bangalore,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,58,Instant,EUR,3,9,17,1
782.84,Axis Bank,Axis Bank,2798.33,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,59,Scheduled,GBP,4,10,4,11
167.64,HDFC Bank,ICICI Bank,8918.67,Mumbai,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,5,11,5,20
1988.33,SBI Bank,HDFC Bank,9618.66,Delhi,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,21,Scheduled,USD,6,12,12,34
1104.99,ICICI Bank,SBI Bank,1634.05,Bangalore,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,22,Instant,EUR,7,13,15,9
311.98,Axis Bank,Axis Bank,7845.1,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,23,Scheduled,GBP,8,14,1,34
1613.28,HDFC Bank,ICICI Bank,7803.88,Mumbai,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,24,Instant,INR,9,15,4,59
1800.3,SBI Bank,HDFC Bank,4451.82,Delhi,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,25,Scheduled,USD,10,16,20,42
1390.84,ICICI Bank,SBI Bank,1423.17,Bangalore,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,26,Instant,EUR,11,17,12,14
842.26,Axis Bank,Axis Bank,1491.34,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,27,Scheduled,GBP,12,18,23,6
1084.68,HDFC Bank,ICICI Bank,2675.22,Mumbai,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,28,Instant,INR,1,19,17,21
1817.0,SBI Bank,HDFC Bank,2539.06,Delhi,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,2,20,11,27
1610.4,ICICI Bank,SBI Bank,4940.94,Bangalore,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,30,Instant,EUR,3,21,20,23
253.47,Axis Bank,Axis Bank,8274.6,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,31,Scheduled,GBP,4,22,23,28
1000.09,HDFC Bank,ICICI Bank,7781.77,Mumbai,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,32,Instant,INR,5,23,16,40
